حقير	860	2555	5291	-0.0727463806653	0.0351402223983	NEG	
مثقف	1264	744	3810	0.0156245327176	-0.060576935738	POS	
دماغها	218	451	1391	-0.0564606273383	-0.00160882336987	NEG	
سيء	1967	1607	7805	-0.0115431066751	-0.054283808239	POS	
رحيم	N/A	N/A	N/A	N/A	N/A	SeedLexicon	
ودود	521	58	509	0.0974623798717	-0.12223858084	POS	
مركز	3794	3015	15036	-0.0119261698514	-0.0616720090029	POS	
تشجيع ودعم	1	0	1	0.061479878255	0	POS	
زانيه	74	139	427	-0.0433864649159	-0.00217377533558	NEG	
بن المتناكه	0	14	3	0	0.0999135854583	NEG	
زلزال	121	201	366	-0.00702635828018	0.0261494731148	NEG	
محترف ووطني	0	0	0	0	0	NEG	
مسليه	80	43	496	-0.0338860087858	-0.0970914968764	POS	
ضعيفه	846	1074	4032	-0.0321982321669	-0.0238275491552	NEG	
ابن المتناكه	22	141	151	-0.0788189710059	0.0651099503862	NEG	
كان عظيم	21	25	71	-0.00445520031466	-0.00317773735672	NEG	
زنديق	140	629	664	-0.0615441581082	0.0731320135976	NEG	
وحش	745	1040	2750	-0.0158944070189	0.00351181997819	NEG	
صدامي	47	54	233	-0.0252167997329	-0.0271088810091	POS	
بحبها	1172	803	6339	-0.0343602885486	-0.0920821395477	POS	
كريه	390	497	2435	-0.0492042567847	-0.0415549649027	NEG	
سفله	27	102	101	-0.0386544354208	0.0620920799654	NEG	
وسخ عادي	0	0	1	0	0	NEG	
حثاله	259	662	1261	-0.0461467547956	0.0336016278086	NEG	
جميل	13883	5506	32795	0.0543017828141	-0.10454690148	POS	
نذل	312	815	2373	-0.075638156785	0.00510663538227	NEG	
فزييييييع سرسجي	0	0	1	0	0	NEG	
لذيذ	N/A	N/A	N/A	N/A	N/A	SeedLexicon	
ملهم	117	44	166	0.057667946797	-0.0419974878885	POS	
زبي	185	1220	1024	-0.0868352544084	0.0943441848956	NEG	
باهي	65	70	228	-0.00509463168936	-0.0123885762805	POS	
cool	11	9	20219	-0.438816298464	-0.458761541478	POS	
ابن الحيوان	3	22	43	-0.0996793195557	0.0296403487081	NEG	
غلابه	228	380	1630	-0.0603928156426	-0.0275071206968	NEG	
داهيه	813	1521	4048	-0.0441699915267	0.00824360378855	NEG	
حاقد	1108	1981	4439	-0.0291978754152	0.0206649353291	NEG	
جدعه	236	136	842	0.00225969059724	-0.0632919481341	POS	
جسمها	140	463	491	-0.0365556684822	0.0670022711837	NEG	
مبشر	45	22	56	0.0549170335222	-0.0172013728417	POS	
ابن سلول	10	35	54	-0.0469794849809	0.0380463133766	NEG	
كتكوت	246	271	1491	-0.0428276472133	-0.049230374263	POS	
تحفه	N/A	N/A	N/A	N/A	N/A	SeedLexicon	
مش صحي	1	0	4	0.0032797550825	0	POS	
ضاحي	211	354	321	0.0217683107709	0.0593526117234	NEG	
اصلا واضح	0	0	0	0	0	NEG	
بليد	35	75	110	-0.0145388337844	0.0374012207992	NEG	
زعيم و	5	1	8	0.0446751371357	-0.0721274771213	POS	
عادل	3922	3090	11744	0.012874026576	-0.0389012144837	POS	
علي قدر	0	0	0	0	0	NEG	
نعال	115	282	341	-0.0179962258233	0.0535999340895	NEG	
اوعو تنسو	1	6	11	-0.0780814384649	0.0290197770098	NEG	
عادي	7614	11946	42530	-0.0642843651729	-0.022765794935	NEG	
المخانيث	34	54	187	-0.0351413318566	-0.0105735306946	NEG	
برجوازي متسلق	2	0	1	0.0834255585652	0	POS	
كبري قصر النيل	3	6	46	-0.0851916519638	-0.0510374683912	NEG	
معرص	398	1098	2659	-0.0701566086775	0.0197511210704	NEG	
كان محترم	44	35	157	-0.00155259916806	-0.0332270861589	POS	
الحساب	2459	1664	4539	0.0506386664281	-0.0175606286714	POS	
مجنون"ليه	0	0	0	0	0	NEG	
مسالم	304	352	1077	-0.0079295645884	-0.00915783555734	POS	
قادم	564	514	1103	0.0327981433819	0.00612337826353	POS	
